Date,mobile_device,internal_combustion_engine,controller_configure,user_equipment,user_device,memory_card,isolated_nucleic_acid,semiconductor_memory_device,reflective_element,airfoil_profile_section
2005-01-01,16,310,6,8,3,19,38,107,13,3
2005-04-01,19,353,7,11,7,15,40,107,7,3
2005-07-01,16,324,7,11,8,39,29,102,10,2
2005-10-01,32,244,4,9,14,17,27,75,6,0
2006-01-01,37,274,7,11,10,17,21,103,9,1
2006-04-01,43,375,11,19,12,36,58,107,11,0
2006-07-01,46,308,14,12,18,36,57,122,15,0
2006-10-01,36,300,21,14,13,52,29,98,4,0
2007-01-01,36,277,21,18,11,21,43,96,8,1
2007-04-01,36,278,11,23,9,26,44,92,7,0
2007-07-01,51,265,11,13,10,27,33,129,11,0
2007-10-01,58,283,16,19,12,40,41,110,8,1
2008-01-01,58,185,12,16,6,28,22,83,5,1
2008-04-01,63,273,17,22,12,41,29,129,7,3
2008-07-01,44,256,14,19,11,32,33,102,10,1
2008-10-01,59,308,20,23,12,40,26,132,5,1
2009-01-01,52,199,26,14,13,34,29,125,6,4
2009-04-01,74,216,25,25,23,19,31,124,5,22
2009-07-01,67,227,29,20,21,26,17,131,8,13
2009-10-01,91,264,26,31,24,35,32,136,12,4
2010-01-01,80,236,32,19,20,20,23,140,7,0
2010-04-01,95,301,41,36,28,33,32,142,13,1
2010-07-01,103,335,68,40,31,25,24,146,6,0
2010-10-01,101,291,43,51,39,29,31,171,10,2
2011-01-01,114,241,63,37,33,26,21,130,7,2
2011-04-01,128,274,42,52,22,31,28,123,8,0
2011-07-01,155,296,70,64,30,28,22,165,3,6
2011-10-01,183,309,56,101,39,32,30,152,10,4
2012-01-01,174,277,71,76,48,16,26,109,11,5
2012-04-01,239,336,90,110,57,25,23,114,11,4
2012-07-01,281,353,106,142,73,17,23,125,7,1
2012-10-01,309,317,100,150,81,23,29,139,7,0
2013-01-01,271,299,104,136,81,15,11,127,8,2
2013-04-01,329,328,101,189,83,26,22,115,13,1
2013-07-01,392,375,116,217,109,15,13,132,12,2
2013-10-01,409,376,126,240,103,22,17,146,5,2
2014-01-01,373,327,118,223,94,10,16,86,10,4
2014-04-01,456,399,150,262,126,25,24,126,7,5
2014-07-01,572,392,182,382,203,20,13,158,9,4
2014-10-01,565,369,154,374,189,15,18,131,7,3
2015-01-01,453,329,171,327,163,9,14,109,5,4
2015-04-01,539,380,159,367,198,16,15,123,11,3
2015-07-01,588,336,221,374,206,13,12,118,12,0
2015-10-01,712,416,236,495,237,19,19,141,8,2
2016-01-01,535,308,221,408,189,8,13,89,12,1
2016-04-01,647,324,235,476,250,13,12,104,5,0
2016-07-01,662,336,255,482,268,14,12,101,3,0
2016-10-01,676,331,308,555,250,16,15,116,15,1
2017-01-01,607,342,271,445,274,5,17,103,4,0
2017-04-01,712,393,305,530,294,10,12,114,11,0
2017-07-01,706,370,312,566,320,13,15,104,9,5
2017-10-01,762,380,366,571,299,6,12,106,13,2
2018-01-01,568,318,335,516,247,13,15,68,12,0
2018-04-01,630,353,385,547,287,6,9,104,7,3
2018-07-01,665,317,349,487,343,14,19,93,2,1
