date,combustion
2005-01-01,310
2005-04-01,353
2005-07-01,324
2005-10-01,244
2006-01-01,274
2006-04-01,375
2006-07-01,308
2006-10-01,300
2007-01-01,277
2007-04-01,278
2007-07-01,265
2007-10-01,283
2008-01-01,185
2008-04-01,273
2008-07-01,256
2008-10-01,308
2009-01-01,199
2009-04-01,216
2009-07-01,227
2009-10-01,264
2010-01-01,236
2010-04-01,301
2010-07-01,335
2010-10-01,291
2011-01-01,241
2011-04-01,274
2011-07-01,296
2011-10-01,309
2012-01-01,277
2012-04-01,336
2012-07-01,353
2012-10-01,317
2013-01-01,299
2013-04-01,328
2013-07-01,375
2013-10-01,376
2014-01-01,327
2014-04-01,399
2014-07-01,392
2014-10-01,369
2015-01-01,329
2015-04-01,380
2015-07-01,336
2015-10-01,416
2016-01-01,308
2016-04-01,324
2016-07-01,336
2016-10-01,331
2017-01-01,342
2017-04-01,393
2017-07-01,370
2017-10-01,380
2018-01-01,318
2018-04-01,353
2018-07-01,317
